animal_breed;offence;infringment_date;suburb_name
Pit Bull Terrier;Unregistered Dog;2025-10;WAGAMAN
Bull Arab;Fail To Contain Dog;2025-09;ANULA
Rottweiler;Unregistered Dog;2025-07;RAPID CREEK
American Pit Bull Terrier;Fail To Contain Dog;2025-05;NAKARA
Chihuahua;Fail To Contain Dog;2025-07;WULAGI
Chihuahua;Unregistered Dog;2025-08;ALAWA
Maltese;Fail To Contain Dog;2025-09;MOIL
Cross Breed;Fail To Contain Dog;2025-11;WAGAMAN
Jack Russell Terrier;Fail To Contain Dog;2025-11;ALAWA
Jack Russell Terrier;Unregistered Dog;2025-11;ALAWA
Catahoula;Dog Attack - Serious;2025-11;NIGHTCLIFF
Cane Corso;Unregistered Dog;2025-08;KARAMA
Pit Bull Terrier;Unregistered Dog;2025-08;MILLNER
Rottweiler;Fail To Contain Dog;2025-10;LEANYER
Bull Arab;Fail To Contain Dog;2025-10;LEANYER
Rottweiler;Dog Menace;2025-07;RAPID CREEK
Maltese;Exceed Number Of Dogs Allowed;2025-06;LEANYER
Border Collie;Fail To Contain Dog;2025-07;PARAP
Bull Arab;Fail To Contain Dog;2025-09;DARWIN
Irish Wolfhound;Fail To Contain Dog;2025-11;MARRARA
Mastiff;Dog at Large;2023-11;KARAMA
Stafforshire Bull Terrier;Fail To Contain Dog;2024-01;WANGURI
Cross Breed;Unregistered Dog;2024-02;ANULA
Stafforshire Bull Terrier;Fail To Contain Dog;2024-02;BAYVIEW
American Pit Bull Terrier;Unregistered Dog;2024-02;MALAK
Stafforshire Bull Terrier;Fail To Contain Dog;2024-02;BAYVIEW
Bull Arab;Unregistered Dog;2024-03;PARAP
Cross Breed;Fail To Contain Dog;2024-03;KARAMA
Bull Arab;Fail To Contain Dog;2024-04;NAKARA
Bull Arab;Dog Attack - Serious;2024-04;NAKARA
Bull Arab;Fail To Contain Dog;2024-04;MALAK
Cross Breed;Dog Attack - Aggravated;2024-04;MILLNER
Cross Breed;Fail To Contain Dog;2024-04;MILLNER
Bull Terrier;Exceed Number Of Dogs Allowed;2024-05;KARAMA
Mastiff;Fail To Comply Conditions Dangerous Dog;2024-05;MILLNER
Terrier Cross;Unregistered Dog;2024-05;ALAWA
Cross Breed;Fail To Contain Dog;2024-06;WULAGI
Bull Arab;Fail To Contain Dog;2024-07;MALAK
Cross Breed;Unregistered Dog;2024-07;LEANYER
Boarder Collie Cross;Fail To Contain Dog;2024-07;NAKARA
Bull Terrier Cross;Unregistered Dog;2024-08;KARAMA
