meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2020-07-28;Receive and Note Reports;Interim Monthly Financial Report - June 2020;Corporate;Standard Report
Ordinary Council;2020-11-08;Notices of Motion;Notice of Motion - Darwin Cenotaph Carpark Future Development Process;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-11-08;Action Reports;Innovate Reconciliation Action Plan 2020- 2022;Community;Standard Report
Ordinary Council;2020-11-08;Action Reports;Risk Update and Review of Policy 069 Risk Management Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2020-08-25;Action Reports;ICAC Procedure and Fraud Prevention Policy;Corporate;Standard Report
Ordinary Council;2020-08-25;Receive and Note Reports;Pre Cyclone Clean Up/Hard Rubbish Collection 2020;Engineering & City Services;Standard Report
Ordinary Council;2020-09-15;Notices of Motion;Notice of Motion - Box Jelly Fish Warning Signs;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-09-15;Information Item;Incoming Correspondence;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2020-09-29;Notices of Motion;Notice of Motion - Fannie Bay Historical and Heritage Society - Great Air Race Commemoration;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-09-29;Action Reports;Streetscape Beautification Program for 2020/21;Engineering & City Services;Standard Report
Ordinary Council;2020-10-13;Action Reports;Local Government Compliance Review - Final Report 2019/20;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2020-10-27;Notices of Motion;Notice of Motion - Lord's Prayer;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-10-27;Action Reports;Elected Member Policy Review;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2020-11-24;Notices of Motion;Notice of Motion - Darwin Cenotaph Carpark Greening;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-11-24;Notices of Motion;Notice of Motion - Cat Containment;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-11-24;Action Reports;eScooter Evaluation;Innovation;Standard Report
Ordinary Council;2020-08-12;Notices of Motion;Notice of Motion - Safety Site Lines for Path Users;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2020-08-12;Action Reports;Black Spot Program 2021/2022 Nominations;Engineering & City Services;Standard Report
Ordinary Council;2020-08-12;Action Reports;Recommendation from the Access and Inclusion Advisory Committee - 10 November 2020;Community;Standard Report
Ordinary Council;2020-08-12;Information Item;Supporting Correspondence - Cat Containment;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2021-09-02;Action Reports;2020/21 External Funding Opportunities;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2021-09-02;Action Reports;Austin Lane and Spain Place Outdoor Dining;Innovation;Standard Report
