abs_lga;census_year;suburb;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2016;Muirhead;Northern Territory;Malaysia;0.0;0.0;0.0;13.0;3.0;0.0;0.0;0.0;0.0;20.0
Darwin;2016;Muirhead;Northern Territory;Poland;0.0;3.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;8.0
Darwin;2016;Nakara;Northern Territory;Canada;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Nakara;Northern Territory;Scotland;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;8.0
Darwin;2016;Nightcliff;Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Nightcliff;Northern Territory;China (excludes SARs and Taiwan)(c);0.0;5.0;7.0;21.0;0.0;4.0;3.0;0.0;0.0;38.0
Darwin;2016;Nightcliff;Northern Territory;Egypt;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Nightcliff;Northern Territory;Born elsewhere(e);6.0;15.0;7.0;67.0;29.0;8.0;9.0;3.0;0.0;145.0
Darwin;2016;Parap;Northern Territory;Malta;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Rapid Creek;Northern Territory;Hong Kong (SAR of China)(c);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Rapid Creek;Northern Territory;Iran;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
Darwin;2016;Rapid Creek;Northern Territory;Turkey;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Stuart Park;Northern Territory;Egypt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Stuart Park;Northern Territory;Lebanon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Gardens (NT);Northern Territory;India;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;12.0
Darwin;2016;The Narrows (NT);Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Narrows (NT);Northern Territory;Iran;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Tiwi;Northern Territory;Myanmar;3.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;13.0
Darwin;2016;Tiwi;Northern Territory;Papua New Guinea;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Wagaman;Northern Territory;England;0.0;3.0;0.0;4.0;8.0;6.0;10.0;4.0;0.0;31.0
Darwin;2016;Wagaman;Northern Territory;Myanmar;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;7.0
Darwin;2016;Wagaman;Northern Territory;Sri Lanka;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;8.0
Darwin;2016;Wanguri;Northern Territory;England;0.0;3.0;6.0;12.0;18.0;6.0;5.0;4.0;0.0;51.0
